,agent/total_reward
1,-3883.250732421875
2,-8108.54248046875
3,-4125.09326171875
4,-2070.085205078125
5,-2598.705078125
6,-3349.818115234375
7,-4854.1376953125
8,-6672.9853515625
9,-4872.578125
10,-4012.333984375
11,-8717.0244140625
12,-3602.326171875
13,-4718.61083984375
14,-3319.156982421875
15,-5702.099609375
16,-3701.314453125
17,-3067.329345703125
18,-5715.9873046875
19,-5518.072265625
20,-4372.14794921875
21,-4124.126953125
22,-4925.95849609375
23,-5714.91796875
24,-2968.48876953125
25,-4714.12744140625
26,-4867.4111328125
27,-3263.427490234375
28,-2681.510986328125
29,-7228.83203125
30,-3998.759765625
31,-2769.202392578125
32,-7559.01171875
33,-4325.4833984375
34,-2922.505126953125
35,-3368.049560546875
36,-4194.9990234375
37,-4610.8896484375
38,-4604.10986328125
39,-3121.28369140625
40,-2546.861572265625
41,-3519.632080078125
42,-5731.42529296875
43,-5306.83740234375
44,-3133.5517578125
45,-10335.861328125
46,-5429.8798828125
47,-4247.66552734375
48,-8013.34326171875
49,-4262.5849609375
50,-4684.2578125
51,-3118.095458984375
52,-3818.884521484375
53,-3812.161376953125
54,-2517.067626953125
55,-3497.36083984375
56,-6368.193359375
57,-8888.5
58,-5044.09765625
59,-8784.333984375
60,-2826.494140625
61,-2977.716552734375
62,-3639.23095703125
63,-2342.01123046875
64,-3700.293212890625
65,-3085.033447265625
66,-2754.85009765625
67,-5403.060546875
68,-2686.338134765625
69,-3788.807861328125
70,-2896.941650390625
71,-5537.8759765625
72,-5219.52587890625
73,-4406.7080078125
74,-4182.380859375
75,-6067.56396484375
76,-5599.640625
77,-3126.19873046875
78,-3772.386962890625
79,-6206.75537109375
80,-5661.60546875
81,-2358.376708984375
82,-9166.951171875
83,-2517.3232421875
84,-3843.698486328125
85,-4119.2900390625
86,-2461.82373046875
87,-6457.2509765625
88,-6618.29345703125
89,-3078.5771484375
90,-2428.299560546875
91,-3601.291259765625
92,-6106.65625
93,-2450.656494140625
94,-4337.951171875
95,-2843.2744140625
96,-3528.133056640625
97,-5505.10107421875
98,-4857.05078125
99,-3189.922607421875
100,-4335.7236328125
101,-5029.912109375
102,-4093.965087890625
103,-11098.4365234375
104,-16534.64453125
105,-6236.9228515625
106,-19301.015625
107,-10965.087890625
108,-17216.259765625
109,-47041.359375
110,-44865.75390625
111,-44571.90234375
112,-47511.578125
113,-47428.05859375
114,-47633.09765625
115,-46961.33203125
116,-48406.58984375
117,-46488.70703125
118,-49049.1796875
119,-49678.1875
120,-48363.42578125
121,-49882.48828125
122,-49601.91796875
123,-49443.328125
124,-51259.66796875
125,-51232.9296875
126,-50848.2734375
127,-42471.92578125
128,-50997.94921875
129,-50016.9375
130,-49826.12890625
131,-48264.2578125
132,-45623.60546875
133,-49010.71484375
134,-49557.5390625
135,-48593.23828125
136,-47316.04296875
137,-48899.921875
138,-46406.2734375
139,-49792.43359375
140,-50133.21484375
141,-50872.64453125
142,-48389.1640625
143,-49154.06640625
144,-49245.7578125
145,-50905.03125
146,-49153.359375
147,-51132.72265625
148,-50304.52734375
149,-48459.04296875
150,-50395.23046875
151,-50062.28515625
152,-47095.2578125
153,-50028.8046875
154,-48649.5234375
155,-48821.85546875
156,-46884.71875
157,-51317.55859375
158,-50284.72265625
159,-47735.6953125
160,-48275.6796875
161,-49406.1015625
162,-48747.62890625
163,-46770.125
164,-47086.7578125
165,-49434.90234375
166,-53343.0390625
167,-50453.5625
168,-47911.3671875
169,-50767.96484375
170,-49071.7734375
171,-51182.02734375
172,-49805.4296875
173,-50528.19140625
174,-49902.6015625
175,-48536.8046875
176,-48373.1484375
177,-49182.90625
178,-47486.16796875
179,-50693.28515625
180,-48741.4375
181,-49763.8203125
182,-49632.359375
183,-50237.62890625
184,-47589.9609375
185,-32813.1171875
186,-49380.171875
187,-49206.54296875
188,-48731.42578125
189,-49298.14453125
190,-48344.9375
191,-47362.29296875
192,-48562.0546875
193,-2993.732666015625
194,-19400.30078125
195,-22210.630859375
196,-2401.513671875
197,-48692.18359375
198,-49027.390625
199,-48759.86328125
200,-48353.17578125
201,-3826.99658203125
202,-47126.09375
203,-47047.20703125
204,-45414.765625
205,-47263.1484375
206,-48583.70703125
207,-29302.029296875
208,-4033.39453125
209,-48102.69140625
210,-3914.817626953125
211,-2819.800537109375
212,-5803.55126953125
213,-3691.798828125
214,-2432.234375
215,-48868.19140625
216,-4179.2119140625
217,-3827.943603515625
218,-48640.0859375
219,-4337.5703125
220,-3859.08740234375
221,-47936.26953125
222,-51483.85546875
223,-3029.46044921875
224,-6091.921875
225,-2373.545166015625
226,-2937.256591796875
227,-3840.67919921875
228,-2593.23388671875
229,-51609.51171875
230,-3536.928466796875
231,-3100.041259765625
232,-3799.0224609375
233,-3427.759033203125
234,-4667.00732421875
235,-3552.70849609375
236,-2822.398681640625
237,-3034.976318359375
238,-3444.64208984375
239,-3499.8740234375
240,-2962.720947265625
241,-1907.0059814453125
242,-2154.655517578125
243,-3834.5283203125
244,-3823.9130859375
245,-2464.08447265625
246,-3154.06005859375
247,-3993.359619140625
248,-2289.203857421875
249,-3466.7265625
250,-4419.68115234375
251,-2253.67822265625
252,-3093.93896484375
253,-2724.48095703125
254,-3338.244384765625
255,-3525.447265625
256,-3245.759033203125
257,-2212.885498046875
258,-2559.970458984375
259,-3193.60595703125
260,-4320.7490234375
261,-3525.6982421875
262,-2389.119384765625
263,-3948.552734375
264,-2038.7955322265625
265,-2334.790771484375
266,-3583.091796875
267,-3414.772216796875
268,-3724.593017578125
269,-2724.710205078125
270,-2794.78271484375
271,-2732.361328125
272,-3511.960205078125
273,-2423.1962890625
274,-3824.59033203125
275,-3037.577392578125
276,-2921.4853515625
277,-2852.424560546875
278,-2770.878662109375
279,-2981.279052734375
280,-3686.22509765625
281,-2778.6904296875
282,-3167.4814453125
283,-2336.218017578125
284,-2375.76904296875
285,-1908.79248046875
286,-4552.97607421875
287,-2337.288330078125
288,-3311.093505859375
289,-3684.922607421875
290,-3283.606201171875
291,-3457.9541015625
292,-2558.662109375
293,-1925.29150390625
294,-2849.757568359375
295,-3913.484130859375
296,-2696.47021484375
297,-4626.42138671875
298,-2050.748291015625
299,-4435.62841796875
300,-4727.8837890625
301,-2996.655029296875
302,-3897.90283203125
303,-2696.026123046875
304,-3386.110107421875
305,-2369.116455078125
306,-3232.947265625
307,-2332.81494140625
308,-2716.299560546875
309,-2948.1435546875
310,-2242.718017578125
311,-2446.34521484375
312,-3279.856689453125
313,-2473.81005859375
314,-2407.668701171875
315,-2538.89306640625
316,-2244.0244140625
317,-3178.56591796875
318,-3044.916748046875
319,-3862.86767578125
320,-3038.74365234375
321,-3055.931640625
322,-5817.791015625
323,-2389.46875
324,-3938.657470703125
325,-3129.69287109375
326,-2904.48583984375
327,-2750.710693359375
328,-2095.96044921875
329,-3895.55322265625
330,-3587.24365234375
331,-4210.419921875
332,-2913.63232421875
333,-2461.5087890625
334,-3571.200439453125
335,-2822.510498046875
336,-2611.649658203125
337,-2272.1884765625
338,-3894.1845703125
339,-3479.731201171875
340,-4094.36474609375
341,-2936.606689453125
342,-4033.9072265625
343,-3106.463623046875
344,-3892.171630859375
345,-2877.8515625
346,-3203.558349609375
347,-2872.1845703125
348,-2469.3876953125
349,-2572.072509765625
350,-3057.214599609375
351,-3050.91357421875
352,-3104.465576171875
353,-4169.79052734375
354,-4850.3095703125
355,-5174.30078125
356,-4622.75439453125
357,-2846.697021484375
358,-3883.949462890625
359,-3055.797119140625
360,-3352.92041015625
361,-3700.294189453125
362,-4887.0859375
363,-2371.6689453125
364,-5628.71240234375
365,-2203.19775390625
366,-5780.2138671875
367,-5890.30810546875
368,-3545.8017578125
369,-2927.488037109375
370,-2715.147216796875
371,-3888.82421875
372,-5409.5341796875
373,-3373.71435546875
374,-3083.26220703125
375,-2687.56640625
376,-4108.13671875
377,-3154.203369140625
378,-3995.95263671875
379,-2148.226318359375
380,-5479.09765625
381,-4939.15673828125
382,-3532.0263671875
383,-2989.672119140625
384,-3217.93212890625
385,-4040.628662109375
386,-11397.2265625
387,-4052.405029296875
388,-2898.709228515625
389,-2803.37939453125
390,-3460.174072265625
391,-3927.0673828125
392,-4360.232421875
393,-4166.28466796875
394,-8102.69580078125
395,-3858.3662109375
396,-4618.70458984375
397,-3723.625244140625
398,-2918.235107421875
399,-3115.978759765625
400,-4361.35107421875
401,-2683.825439453125
402,-32023.029296875
403,-5663.2451171875
404,-10319.8427734375
405,-2730.07958984375
406,-4090.352294921875
407,-4396.9794921875
408,-4754.029296875
409,-3541.7841796875
410,-3389.4990234375
411,-2458.006103515625
412,-50703.17578125
413,-4470.0810546875
414,-2755.927001953125
415,-3990.739990234375
416,-3913.586669921875
417,-3216.8671875
418,-49762.40625
419,-6898.04052734375
420,-2941.49560546875
421,-3879.6572265625
422,-4227.2763671875
423,-50523.37109375
424,-4313.2509765625
425,-7410.0224609375
426,-4950.2685546875
427,-4294.90380859375
428,-4205.57421875
429,-3374.97412109375
430,-3206.3544921875
431,-3367.767333984375
432,-2206.540771484375
433,-51040.3671875
434,-2499.0654296875
435,-3184.691650390625
436,-4531.6396484375
437,-4629.45703125
438,-3889.7783203125
439,-2848.330810546875
440,-3299.63818359375
441,-2797.089599609375
442,-5054.7138671875
443,-2651.08544921875
444,-4589.609375
445,-3729.90625
446,-2741.4208984375
447,-3669.173828125
448,-3481.56689453125
449,-2745.976318359375
450,-2348.40283203125
451,-3356.312744140625
452,-2334.35498046875
453,-5212.3125
454,-3387.997314453125
455,-2703.286376953125
456,-4501.119140625
457,-50817.84765625
458,-2901.127197265625
459,-3089.0869140625
460,-4753.4677734375
461,-4124.90380859375
462,-2906.884765625
463,-3280.40283203125
464,-3816.427978515625
465,-2782.236328125
466,-2236.488525390625
467,-3667.304931640625
468,-50693.5859375
469,-3937.484619140625
470,-2959.556396484375
471,-2823.82568359375
472,-3448.390869140625
473,-28923.361328125
474,-3407.380859375
475,-3704.195068359375
476,-27745.982421875
477,-4635.88525390625
478,-3462.720703125
479,-6159.21484375
480,-5658.33056640625
481,-3653.388427734375
482,-3939.363037109375
483,-7700.009765625
484,-3817.761474609375
485,-3842.6708984375
486,-2600.504150390625
487,-2105.549560546875
488,-2470.70556640625
489,-17492.115234375
490,-3060.617431640625
491,-4074.405517578125
492,-2242.818359375
493,-5384.96337890625
494,-2182.859130859375
495,-3527.147216796875
496,-2972.53759765625
497,-5757.798828125
498,-3684.0361328125
499,-5574.25390625
500,-3317.605224609375
501,-2957.423583984375
502,-5134.95166015625
503,-5037.3662109375
504,-23362.6875
505,-4715.94921875
506,-4655.54052734375
507,-48891.4453125
508,-42413.94921875
509,-3372.399169921875
510,-4584.92626953125
511,-8719.271484375
512,-49929.84375
513,-48553.75390625
514,-6191.8203125
515,-4142.5732421875
516,-4111.431640625
517,-48326.61328125
518,-48200.77734375
519,-3814.9677734375
520,-14004.98828125
521,-2495.531005859375
522,-40134.68359375
523,-49274.0859375
524,-3295.98388671875
525,-3644.18017578125
526,-8858.310546875
527,-48326.7734375
528,-44568.046875
529,-5604.84423828125
530,-2861.902099609375
531,-14824.5791015625
532,-3889.746826171875
533,-16865.4453125
534,-22698.3671875
535,-4259.552734375
536,-16244.9951171875
537,-11319.26171875
538,-3272.5439453125
539,-36492.890625
540,-45796.77734375
541,-5832.619140625
542,-6022.60107421875
543,-5946.66650390625
544,-6077.36376953125
545,-40469.57421875
546,-3428.979736328125
547,-58410.4765625
548,-4446.671875
549,-6821.43603515625
550,-46332.66796875
551,-6319.71630859375
552,-6516.5537109375
553,-5652.6025390625
554,-39094.8046875
555,-6805.56591796875
556,-4790.9912109375
557,-4732.115234375
558,-3909.6181640625
559,-18431.435546875
560,-43576.54296875
561,-17031.54296875
562,-23695.724609375
563,-4095.2685546875
564,-31456.560546875
565,-12207.005859375
566,-3219.484130859375
567,-12239.064453125
568,-2547.321533203125
569,-6673.001953125
570,-2988.633056640625
571,-20019.865234375
572,-6234.05078125
573,-5492.49560546875
574,-7973.3759765625
575,-4669.240234375
576,-4399.4326171875
577,-4304.34033203125
578,-3407.544189453125
579,-4524.94580078125
580,-44221.91015625
581,-44072.6640625
582,-30718.62890625
583,-48807.3046875
584,-2863.186767578125
585,-3025.642333984375
586,-4319.11328125
587,-4130.615234375
588,-3294.670654296875
589,-3152.59228515625
590,-3481.252197265625
591,-2547.12744140625
592,-2065.821533203125
593,-4731.31640625
594,-25832.06640625
595,-4093.556396484375
596,-45248.52734375
597,-3452.826904296875
598,-2346.6201171875
599,-3184.581298828125
600,-5596.5615234375
601,-4453.52099609375
602,-50075.8203125
603,-2186.039306640625
604,-9068.708984375
605,-12149.083984375
606,-5786.3291015625
607,-3052.653076171875
608,-52794.98046875
609,-7378.67724609375
610,-7068.802734375
611,-5474.9775390625
612,-4942.59228515625
613,-2408.771484375
614,-4966.82177734375
615,-4681.38134765625
616,-2344.38623046875
617,-2148.822509765625
618,-2632.91845703125
619,-4431.80126953125
620,-3885.345947265625
621,-9559.9619140625
622,-10730.5234375
623,-5640.328125
624,-5905.02001953125
625,-3966.103515625
626,-3485.34814453125
627,-14495.1630859375
628,-19444.189453125
629,-3710.13037109375
630,-45424.45703125
631,-10562.2197265625
632,-2566.95654296875
633,-3626.01416015625
