,agent/total_reward
1,-2985.052978515625
2,-4904.47021484375
3,-5064.939453125
4,-3484.760498046875
5,-2683.4189453125
6,-2499.12646484375
7,-3180.083251953125
8,-3674.766357421875
9,-3369.659912109375
10,-5726.89208984375
11,-4009.72412109375
12,-2450.770263671875
13,-2476.192138671875
14,-2545.60302734375
15,-2847.03271484375
16,-2863.2109375
17,-2470.032958984375
18,-4558.671875
19,-3096.1865234375
20,-2881.718017578125
21,-4190.181640625
22,-2782.873291015625
23,-3958.445556640625
24,-4343.794921875
25,-5995.1220703125
26,-2158.80029296875
27,-2871.041015625
28,-3161.715087890625
29,-3785.03271484375
30,-3176.28955078125
31,-4098.4287109375
32,-4171.21533203125
33,-4024.633056640625
34,-3930.44482421875
35,-2954.275146484375
36,-4105.935546875
37,-3660.80615234375
38,-5157.861328125
39,-3380.607666015625
40,-2880.8271484375
41,-2568.227783203125
42,-3027.3916015625
43,-3388.755126953125
44,-3130.636474609375
45,-5071.3330078125
46,-2112.82568359375
47,-3614.02001953125
48,-2969.9453125
49,-3329.92431640625
50,-3855.26708984375
51,-4543.626953125
52,-5189.95361328125
53,-3381.7646484375
54,-3369.14404296875
55,-3545.916748046875
56,-5321.83837890625
57,-4094.88330078125
58,-4353.87939453125
59,-4489.26708984375
60,-4829.50830078125
61,-2556.0810546875
62,-5129.68359375
63,-3103.122314453125
64,-2595.98876953125
65,-4885.76806640625
66,-3869.2548828125
67,-2282.618408203125
68,-2834.424072265625
69,-2764.6416015625
70,-3161.752685546875
71,-3774.69921875
72,-4503.3359375
73,-3843.751220703125
74,-5778.22705078125
75,-3669.4912109375
76,-3257.294189453125
77,-2202.95654296875
78,-2842.44677734375
79,-4226.025390625
80,-3996.021484375
81,-2872.59423828125
82,-3891.689697265625
83,-2975.15625
84,-3973.342529296875
85,-3581.9658203125
86,-3113.787353515625
87,-2537.909912109375
88,-2372.927001953125
89,-3234.436767578125
90,-4013.2216796875
91,-3008.158447265625
92,-3020.704833984375
93,-2784.5517578125
94,-3748.306640625
95,-3548.612060546875
96,-3777.255615234375
97,-2993.087646484375
98,-3387.920654296875
99,-3308.216552734375
100,-3825.939697265625
101,-4287.13134765625
102,-13791.2216796875
103,-16155.9814453125
104,-14427.2041015625
105,-28634.42578125
106,-37711.8359375
107,-42829.125
108,-45289.8515625
109,-43063.15234375
110,-38056.484375
111,-46366.3359375
112,-40592.44921875
113,-48868.5390625
114,-47222.70703125
115,-47031.76171875
116,-50034.5078125
117,-48543.69140625
118,-46817.859375
119,-50573.85546875
120,-51541.484375
121,-52203.73828125
122,-52122.92578125
123,-51874.37109375
124,-53026.90625
125,-47405.578125
126,-50480.734375
127,-50032.625
128,-46634.875
129,-46612.484375
130,-46380.9765625
131,-26269.611328125
132,-10481.59765625
133,-4515.6884765625
134,-7118.8583984375
135,-3743.22509765625
136,-3933.297607421875
137,-5671.76123046875
138,-2797.3125
139,-3211.359619140625
140,-3883.15478515625
141,-4931.810546875
142,-3936.31640625
143,-5085.8955078125
144,-3545.356689453125
145,-2728.05224609375
146,-5150.48974609375
147,-6001.45068359375
148,-3288.221923828125
149,-2716.54296875
150,-3164.0380859375
151,-6486.91064453125
152,-2745.593017578125
153,-5311.85009765625
154,-7480.9853515625
155,-6835.17041015625
156,-7377.67333984375
157,-11469.3095703125
158,-11693.3681640625
159,-11024.5361328125
160,-22663.373046875
161,-42757.3359375
162,-45137.3515625
