,agent/total_reward
1,-2862.27978515625
2,-3054.98193359375
3,-3582.307861328125
4,-3085.426025390625
5,-3933.323486328125
6,-2416.93701171875
7,-4672.0908203125
8,-3447.9248046875
9,-4188.61767578125
10,-2727.674072265625
11,-3200.28271484375
12,-4018.98046875
13,-2925.423828125
14,-3716.094970703125
15,-2838.715087890625
16,-2691.817138671875
17,-3391.162841796875
18,-3844.015625
19,-3895.02001953125
20,-3298.337158203125
21,-3901.97216796875
22,-2804.640380859375
23,-4088.201171875
24,-3739.03759765625
25,-3636.6025390625
26,-2675.011474609375
27,-4406.19775390625
28,-3522.604736328125
29,-3428.92919921875
30,-4040.979736328125
31,-2906.457275390625
32,-4372.271484375
33,-4159.8486328125
34,-2628.139404296875
35,-4267.0
36,-3577.751953125
37,-3412.46337890625
38,-2901.540771484375
39,-3626.01318359375
40,-4557.00244140625
41,-4265.1904296875
42,-4339.5771484375
43,-2331.50537109375
44,-3299.3134765625
45,-4106.9111328125
46,-3743.08154296875
47,-3507.25732421875
48,-3006.484619140625
49,-3932.002685546875
50,-3169.287353515625
51,-2958.762451171875
52,-2819.052490234375
53,-3011.410888671875
54,-6088.37548828125
55,-4354.59521484375
56,-2455.3916015625
57,-2803.6318359375
58,-4649.52734375
59,-2404.177734375
60,-2677.85009765625
61,-3188.317138671875
62,-4065.244873046875
63,-3936.694091796875
64,-4889.357421875
65,-2516.682373046875
66,-2846.173828125
67,-2966.061767578125
68,-3259.02197265625
69,-2558.9765625
70,-2652.70458984375
71,-4125.88525390625
72,-2891.957275390625
73,-4439.60986328125
74,-6267.77685546875
75,-3371.40966796875
76,-2557.66845703125
77,-3655.53515625
78,-3732.109619140625
79,-3849.6220703125
80,-2611.656982421875
81,-5276.2431640625
82,-3206.125244140625
83,-2680.638427734375
84,-3447.958740234375
85,-2769.330322265625
86,-3976.969970703125
87,-2949.809326171875
88,-3638.522705078125
89,-5060.88232421875
90,-3462.552001953125
91,-3892.2490234375
92,-3016.05908203125
93,-2748.853759765625
94,-3576.80615234375
95,-2871.915771484375
96,-5595.3505859375
97,-3205.320556640625
98,-3719.89453125
99,-2869.08349609375
100,-4776.6171875
101,-3577.148681640625
102,-8907.0322265625
103,-12227.2587890625
104,-12596.9638671875
105,-8636.978515625
106,-6599.220703125
107,-3818.23046875
108,-5920.123046875
109,-2791.79052734375
110,-3666.54736328125
111,-3274.559814453125
112,-4659.55224609375
113,-3286.887451171875
114,-3236.6123046875
115,-2102.272705078125
116,-3338.160400390625
117,-3440.763671875
118,-3760.681884765625
119,-4115.65771484375
120,-4792.04541015625
121,-2861.40771484375
122,-2208.267822265625
123,-3988.012451171875
124,-4497.23876953125
125,-2627.8017578125
126,-3938.662841796875
127,-4000.80615234375
128,-2630.096923828125
129,-3648.60546875
130,-4291.85400390625
131,-2862.474609375
132,-3589.751953125
133,-3889.505859375
134,-3340.794189453125
135,-3542.08203125
136,-3082.06103515625
137,-4155.51708984375
138,-2759.15185546875
139,-3531.49560546875
140,-2930.29052734375
141,-3790.818603515625
142,-3804.830322265625
143,-3523.523681640625
144,-3293.24853515625
145,-3270.376708984375
146,-4196.01904296875
147,-2774.342041015625
148,-3549.531005859375
149,-4330.685546875
150,-4680.63330078125
151,-3886.357177734375
152,-5042.06396484375
153,-3190.4970703125
154,-3189.03955078125
155,-2851.8662109375
156,-3235.76953125
157,-3691.959716796875
158,-3802.809814453125
159,-4091.390869140625
160,-3752.02197265625
161,-3918.750732421875
162,-2822.84033203125
163,-3625.739990234375
164,-5062.15478515625
165,-3271.0322265625
166,-6674.54541015625
167,-2179.896728515625
168,-3066.42626953125
169,-3452.3251953125
170,-6127.6357421875
171,-4317.6982421875
172,-2721.84326171875
173,-4031.84228515625
174,-4050.47900390625
175,-2372.547119140625
176,-4520.826171875
177,-3022.490966796875
178,-2431.475341796875
179,-2216.8720703125
180,-2990.58740234375
181,-3134.130615234375
182,-2328.62744140625
183,-3047.09716796875
184,-3106.271728515625
185,-2995.5634765625
186,-4041.278076171875
187,-2466.6728515625
188,-3913.5
189,-2319.603759765625
190,-2454.79638671875
191,-3966.276611328125
192,-3748.4208984375
193,-2448.8935546875
194,-2934.17041015625
195,-2548.6513671875
196,-2332.552978515625
197,-3101.47998046875
198,-2162.16650390625
199,-3182.481201171875
200,-3197.438720703125
201,-2094.0771484375
202,-2845.907958984375
203,-3812.4736328125
204,-3721.373291015625
205,-3435.56689453125
206,-3215.824462890625
